external_identify,subject,price,posted_date,category,category_name,rooms,size,toilets,floors,width,length,location,longitude,latitude,owner,street_name,ward,ward_name,area,area_name,region,region_name
141090613,58m2 ô góc tam hưng đường morning chỉ nhỉnh 1 tỷ,1320000000,1673150147977,1040,Đất,,,,,,,"20.87558,105.7897",105.7897,20.87558,False,,462,Xã Tam Hưng,127,Huyện Thanh Oai,,
138404523,Đất mặt tiền Bát Khối- Cho thuê- xây Biệt thự,9000000000,1673150118000,1040,Đất,,,,,,,"21.018677,105.88481",105.88481,21.018677,False,,51,Phường Long Biên,81,Quận Long Biên,,
141400044,Đất mặt tiền sông 1500m2 300m2 thổ cư,2500000000,1673150094000,1040,Đất,,,,,,,"20.2888,106.0121",106.0121,20.2888,False,,9609,Xã Thủy Đông,32,Huyện Thạnh Hóa,,
140903840,"CHÍNH CHỦ BÁN LÔ GÓC 125 M2 4,25 TỶ LÒ LU QUẬN 9.",4250000000,1673150092638,1040,Đất,,,,,,,"10.82647,106.81859",106.81859,10.82647,False,,9258,Phường Trường Thạnh (Quận 9 cũ),119,Thành phố Thủ Đức,,
141400021,"Đất Cư mgard gầnTP,MTdài 12m, đường đá oto ok,99tr",99000000,1673150055000,1040,Đất,,,,,,,"12.91772,108.03862",108.03862,12.91772,False,,8337,Xã Ea M'DRóh,53,Huyện Cư M'gar,,
141278530,"Đất sổ đỏ 60m2 Phan Đình Giót, Phg.Sài, Nha Trang",1980000000,1673150007275,1040,Đất,,,,,,,"12.25228,109.1847",109.1847,12.25228,False,,7617,Phường Phương Sài,44,Thành phố Nha Trang,,
135323150,"Bán đất K65 Trần Xuân Lê, Thanh Khê.Hướng Đông Bắc",2050000000,1673149918696,1040,Đất,,,,,,,"16.05873,108.18747",108.18747,16.05873,False,,6868,Phường Hòa Khê,17,Quận Thanh Khê,,
131694017,Bán lô đất đường Lê Quang Đạo khu phố du lịch,12000000,1673149861257,1040,Đất,,,,,,,"16.05102,108.24527",108.24527,16.05102,False,,6889,Phường Mỹ An,17,Quận Ngũ Hành Sơn,,
141049308,"Bán đất Metro Long Bình, ngay bến xe MĐ mới",50000000,1673149854186,1040,Đất,,,,,,,"10.89155,106.82636",106.82636,10.89155,False,,9250,Phường Long Bình (Quận 9 cũ),119,Thành phố Thủ Đức,,
136683488,Chính Chủ cần tiền bán nhanh lô 51m2 vị trí đẹp,3990000000,1673149745595,1040,Đất,,,,,,,"10.80439,106.7966",106.7966,10.80439,False,,9262,Phường Phú Hữu (Quận 9 cũ),119,Thành phố Thủ Đức,,
141311310,Chính Chủ bán đất 110m2 có 3tỷ An phú Đông Quận 12,3400000000,1673149717527,1040,Đất,,,,,,,"10.85608,106.68718",106.68718,10.85608,False,,9232,Phường An Phú Đông,107,Quận 12,,
139210349,Bán Đất Củ Chi DT 20m × 38m = 766m ( Có 300m TC ),4700000000,1673149651000,1040,Đất,,,,,,,"11.01652,106.50572",106.50572,11.01652,False,,9481,Xã Nhuận Đức,116,Huyện Củ Chi,,
139706147,Bán đất biệt thự mặt sông Cổ Cò - X3 Aqua Complex,4000000000,1673149475186,1040,Đất,,,,,,,"15.91676,108.30077",108.30077,15.91676,False,,6989,Phường Điện Dương,16,Thị xã Điện Bàn,,
141399571,"Cần bán đất CLN 42m×50m,dtcn 2500m(NH 55m)",2500000000,1673149431000,1040,Đất,,,,,,,"11.5942,108.07653",108.07653,11.5942,False,,8613,Xã Gung Ré,57,Huyện Di Linh,,
141398996,CC bán đất Palama giá rẻ hơn thị trường vài trăm,1300000000,1673149417000,1040,Đất,,,,,,,"12.92272,108.27322",108.27322,12.92272,False,,8286,Phường An Lạc,53,Thị Xã Buôn Hồ,,
138451148,Lô đất đẹp ngay ĐH Công Nghệ Trảng Dài,1250000000,1673149390000,1040,Đất,,,,,,,"10.98454,106.86825",106.86825,10.98454,False,,8964,Phường Trảng Dài,13,Thành phố Biên Hòa,,
