external_identify,subject,price,posted_date,body,category,category_name,rooms,size,toilets,floors,width,length,location,longitude,latitude,owner,street_name,ward,ward_name
97531840,cần MUA gà thịt,150000,1659354871000,"Ai có gà thịt (già) bán mình nhé. 
Đui, chột, què, lỗi tật gì cũng ok miễn gà mập mạnh khoẻ (già ngon) 
Gà đòn trống 150k ký mái 125ký. 
Gà ta trống mái 110k 
Gà tre trống mái 110k ký. 
Gà nòi trống mái 110k ký. 
Vịt xiêm già thải 80k ký
Gà gì già cũng cân. (Không mua gà mới đá thua)
Mua bán nhanh nhẹn nhiệt tình. Mang lại là cân. Số nhiều trên 5 con anh chị gọi trước dùm nhé. 
(Mua gà về bán thịt nên ko đòi hỏi gì khác ngoài những yếu tố trên) miễn con gà làm ra bán cho khách hàng ăn ngon là mua. 
Số nhà 831a quốc lộ 1a phường bình hưng hoà a. bình tân, (chân cầu bình thuận) 
Cám ơn ac đã xem tin.",12010,Gà,,,,,,,,,,False,,9457,Phường Bình Hưng Hoà A
97531838,Bán Sam Sung A90 5g Hàn Quốc,3900000,1659354870000,"Bán Sam Sung A90 5G Hàn Quốc máy xài kỹ, đẹp long lanh full zin
Chip 885
6/128
Pin 4500mAp
Bao game cày cuốc, yotube lướt web vô tư. Có Ship Code cho ae ở xa",5010,Điện thoại,,,,,,,,,,False,,7916,Thị trấn Đức Tài
97531839,Bán gà 3kg5 tay tot long mới,1300000,1659354870000,Bán gà 3kg5 ở bến tre có síp các tỉnh cho ae. Ai cần liên hệ e gửi xe,12010,Gà,,,,,,,,,,False,,9159,Phường Kim Dinh
97531837,trục chính từ cây xăng Hoàng Thạnh vào đất 300m,580666777,1659354867000,"-Đất dân chính chủ
-Mặt tiền đường chính Thái Sơn Điện Tiến Điện Bàn Cách Ngã tư chợ Lệ Trạch Hoà Tiến Đà Nẵng đúng 2km(không quảng cáo,nói thêm)
-GIá rẻ dao động từ 579tr đến 959tr cam kết rẻ hơn so với thị trường
-Gần đường nhựa và đường nhựa từ 3m đến 10m và được quy hoạch tương lai hơn 25m
-Xung quanh dân cư hiện hữu- view rất đẹp-đất đẹp y hình
-DT: 108,7m2 đến 144,35m2(ngang từ 5 và 6m trở lên)
-Liên hệ***gặp Nghĩa",1040,Đất,,,,,,,,,,False,,6976,Xã Điện Tiến
97407168,Samsung a6 ram 3/32,1100000,1659354866502,Bán samsung a6 như hình mọi chức năng ok nay bán cho ai cần,5010,Điện thoại,,,,,,,,,,False,,6866,Phường Thạc Gián
97531836,Tìm nhà mới cho bé mèo,2222222,1659354862000,"8 tháng tuổi
Cái
Ngoan hiền sạch sẽ",12050,Mèo,,,,,,,,,,False,,194,Xã Dương Xá
97531835,Cần Vốn Làm Ăn Bán Nhanh Căn Nhà Gò Vấp Giá Rẻ,1540000000,1659354862000,"DC: Đường Dương Quảng Hàm P5 Gò Vấp
• DT: 4mx12m, 48m2
Nhà 1 trệt - 1 lầu , 3 phòng ngủ - 2wc + sân thượng
• Mặt hẻm 4m cách đường chính 30m. Có chỗ đậu xe hơi. Vị trí gần ngay trung tâm, cách các điểm giao dịch của các ngân hàng lớn TGDD , BHX , siêu thị, chợ tầm 150m. 
Bớt lộc cho anh em thiện chí",1020,Nhà ở,3,,,,,,,,,False,,9271,Phường 5
95712976,CẦN RA ĐI NHÀ Đ.HƯƠNG LỘ 2.Q.BÌNH TÂN 48M2 SHR,2240000000,1659354861491,"Chủ cần ra đi nhà đường Bình Trị Đông A diện tích : 48m2 ( 4 x 12 ) Sổ hồng riêng.
_ Nhà 1 trệt 1 lầu 2PN , 2WC , Nhà Hiện trạng hơi cũ cần sơn sửa lại do hết hợp Đồng thuê nhà .
_ Hẻm 5m thông với đường Lê Văn Quới khu dân cư sầm uất thuận tiện mua bán .
_ liên hệ Duy xem nhà .",1020,Nhà ở,2,,,,,,,,,False,,9460,Phường Bình Trị Đông A
97471274,BÁN GẤP NHÀ HXH P19 BT 4 TẦNG 44M2 CHỈ 6.2 TỶ,6200000000,1659354861471,"BÁN GẤP NHÀ HXH PHẠM VIẾT CHÁNH PHƯỜNG 19 BÌNH THẠNH 4 TẦNG 44M2 CHỈ 6.2 TỶ
Nhà chủ xây tâm huyết nay bán để mua nhà mặt tiền kinh doanh, nhà còn mới 4 tầng 4 phòng ngủ 4wc, nội thất đầy đủ, chỉ cần xách vali vô là ở ngay.
Hẻm xe hơi sạch sẽ cách mặt tiền 50m, cách ngã tư Hàng Xanh 1.5km, cách cầu Thị Nghè 300m đi đâu cũng tiện, 3 bước sang Quận 1, 10 phút tới Phú Nhuận, Gò Vấp, Quận 3.
Nằm cạnh các đường Xô Viết Nghệ Tĩnh, Điện Biên Phủ, Nguyễn Văn Lạc, Nguyễn Cửu Vân, Huỳnh Mẫn Đạt, Phan Văn Hân, Huỳnh Tịnh Của, Ngô Tất Tố.
Nhà đẹp sổ vuông vức ngang 4m dài 13m, chuẩn pháp lý, hoàn công đầy đủ, công chứng trong ngày.
Khu vực an ninh dân trí cao, tiện ích xung quanh không thiếu thứ gì từ trường học cho đến bệnh viện.
Gọi ngay: TOẠI BÌNH THẠNH, để được tư vấn và xem nhà miễn phí.
Xin lỗi không tiếp môi giới và trung gian, cảm ơn.",1020,Nhà ở,4,,,,,,,,,False,,9297,Phường 19
97218273,BÁN NHÀ QUẬN BÌNH THẠNH_PHAN VĂN TRỊ_P13. GIÁ 2TỶ1,2100000000,1659354861470,"✔ Nhà hẻm 5m, 1 lầu, 1 trệt, 2PN, 1PK, 1 bếp, 2WC
✔ Vị trí gần chợ, trường Tiểu học Phan Văn Trị, thông ra đường Phạm Văn Đồng. Thuận tiện di chuyển qua trường ĐH Hutech, Văn Lang-cơ sở 2 và các quận trung tâm.
✔ Giấy tờ: sổ hồng chính chủ - hoàn công đủ, sang tên công chứng trong ngày.
✔ CAM KẾT không cò lái, qua trung gian",1020,Nhà ở,2,,,,,,,,,False,,9280,Phường 11
